Team,Expected Winning Percentage,Region,Seed
North Carolina,93.94,East,1
Xavier,87.73,East,2
West Virginia,89.3,East,3
Kentucky,90.73,East,4
Indiana,87.36,East,5
Notre Dame,84.36,East,6
Wisconsin,84.75,East,7
Southern California,81.4,East,8
Providence,82.48,East,9
Pittsburgh,82.29,East,10
Tulsa / Michigan,79.93,East,11
Chattanooga,76.6,East,12
Stony Brook,77.09,East,13
Stephen F. Austin,80.98,East,14
Weber State,73.28,East,15
Florida Gulf Coast / Fairleigh Dickinson,71.41,East,16
Virginia,92.46,Midwest,1
Michigan State,91.88,Midwest,2
Utah,86.64,Midwest,3
Iowa State,86.5,Midwest,4
Purdue,88.64,Midwest,5
Seton Hall,84.46,Midwest,6
Dayton,82.37,Midwest,7
Texas Tech,81.27,Midwest,8
Butler,84.17,Midwest,9
Syracuse,82.69,Midwest,10
Gonzaga,85.96,Midwest,11
Arkansas-Little Rock,79.02,Midwest,12
Iona,78.22,Midwest,13
Fresno State,76.61,Midwest,14
Middle Tennessee,75.02,Midwest,15
Hampton,68.61,Midwest,16
Kansas,94.46,South,1
Villanova,91.29,South,2
Miami (FL),87.05,South,3
California,86.53,South,4
Maryland,87.37,South,5
Arizona,89.04,South,6
Iowa,85.91,South,7
Colorado,81.46,South,8
Connecticut,85.39,South,9
Temple,78.48,South,10
Wichita State / Vanderbilt,86.59,South,11
South Dakota State,78.64,South,12
Hawaii,78.02,South,13
Buffalo,75.66,South,14
North Carolina-Asheville,74.17,South,15
Austin Peay,68.83,South,16
Oregon,88,West,1
Oklahoma,89.96,West,2
Texas A&M,86.78,West,3
Duke,87.33,West,4
Baylor,85.47,West,5
Texas,84.66,West,6
Oregon State,77.63,West,7
Saint Joseph's,81.74,West,8
Cincinnati,83.7,West,9
Virginia Commonwealth,82.91,West,10
Northern Iowa,80.24,West,11
Yale,80.2,West,12
North Carolina-Wilmington,77.72,West,13
Green Bay,76.18,West,14
Cal State Bakersfield,74.97,West,15
Southern / Holy Cross,67.96,West,16